CUST_ID,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE,SPENDING_POWER,LIQUIDITY_STRESS,PAYMENT_EFFICIENCY,TRX_SIZE,CASH_DEPENDENCY,FINANCIAL_HEALTH,ENGAGEMENT_SCORE,Cluster
C10001,40.900749,0.818182,95.4,0.0,95.4,0.0,0.166667,0.0,0.083333,0.0,0.0,2.0,1000.0,201.802084,139.509787,0.0,12.0,0.09539999999904601,0.0,1.4465084373294537,47.6999997615,0.0,0.5877297753001227,0.6121213999999999,0
C10002,3202.467416,0.909091,0.0,0.0,0.0,4653.693195,0.0,0.0,0.0,0.25,4.0,0.0,7000.0,4103.032597,1072.340217,0.222222,12.0,0.0,1.453158640033285,3.8262414594879814,0.0,0.9999999975,0.25164019720733893,0.5727272999999999,0
C10003,2495.148862,1.0,773.17,773.17,0.0,0.0,1.0,1.0,0.0,0.0,0.0,12.0,7500.0,622.066742,627.284787,0.0,12.0,0.10308933333319588,0.0,0.99168153744829,64.43083327964096,0.0,0.500194045520133,1.0,0
C10004,1666.670542,0.636364,1499.0,1499.0,0.0,205.788017,0.083333,0.083333,0.0,0.083333,1.0,1.0,7500.0,89.921689,389.0531685368419,0.0,12.0,0.19986666666640018,0.12347252310094844,0.2311295634369662,1498.9999850100003,0.4999999975,0.3833331790700889,0.5242424,0
C10005,817.714335,1.0,16.0,16.0,0.0,0.0,0.083333,0.083333,0.0,0.0,0.0,1.0,1200.0,678.334763,244.791237,0.0,12.0,0.013333333333222223,0.0,2.7710745338988145,15.999999840000003,0.0,0.39557141625170356,0.6333332,0
C10006,1809.828751,1.0,1333.28,0.0,1333.28,0.0,0.666667,0.0,0.583333,0.0,0.0,8.0,1800.0,1400.05777,2407.246035,0.0,12.0,0.7407111111069961,0.0,0.581601443989577,166.65999979167498,0.0,0.3,0.8666668,0
C10007,627.260806,1.0,3999.92,2675.0,688.38,0.0,1.0,1.0,1.0,0.0,0.0,57.0,12000.0,6083.426724,198.065894,1.0,12.0,0.3333266666663889,0.0,30.71415578339226,70.17403507540807,0.0,0.9843184798500131,1.0,0
C10008,1823.652743,1.0,436.2,0.0,436.2,0.0,1.0,0.0,1.0,0.0,0.0,12.0,2300.0,679.065082,532.03399,0.0,12.0,0.18965217391221892,0.0,1.276356576366928,36.34999996970833,0.0,0.36213225091407764,1.0,0
C10009,1014.926473,1.0,861.49,661.49,200.0,0.0,0.333333,0.083333,0.25,0.0,0.0,5.0,7000.0,688.278568,311.963409,0.0,12.0,0.1230699999998242,0.0,2.2062798011607097,172.297999655404,0.0,0.556503151157205,0.7333331999999999,0
C10010,152.225975,0.545455,1281.6,1281.6,0.0,0.0,0.166667,0.166667,0.0,0.0,0.0,3.0,11000.0,1164.770591,100.302262,0.0,12.0,0.11650909090898498,0.0,11.61260541545787,427.199998576,0.0,0.5958483825000038,0.5303032999999999,0
C10011,1293.124939,1.0,920.12,0.0,920.12,0.0,1.0,0.0,1.0,0.0,0.0,12.0,1200.0,1083.301007,2172.697765,0.0,12.0,0.766766666660277,0.0,0.49859719305920774,76.67666660276944,0.0,0.3,1.0,0
C10012,630.794744,0.818182,1492.18,1492.18,0.0,0.0,0.25,0.25,0.0,0.0,0.0,6.0,2000.0,705.618627,155.549069,0.0,12.0,0.7460899999962696,0.0,4.53630890554952,248.69666625217224,0.0,0.5053807884004731,0.6454545999999999,0
C10013,1516.92862,1.0,3217.99,2500.23,717.76,0.0,1.0,0.25,0.916667,0.0,0.0,26.0,3000.0,608.263689,490.207013,0.25,12.0,1.0726633333297577,0.0,1.2408302469299672,123.76884610624273,0.0,0.5483071380005057,1.0,0
C10014,921.693369,1.0,2137.93,419.96,1717.97,0.0,0.75,0.166667,0.75,0.0,0.0,26.0,7500.0,1655.891435,251.137986,0.083333,12.0,0.28505733333295324,0.0,6.593552259091798,82.22807689145073,0.0,0.5964654652400492,0.9000000000000001,0
C10015,2772.772734,1.0,0.0,0.0,0.0,346.81139,0.0,0.0,0.0,0.083333,1.0,0.0,3000.0,805.647974,989.962866,0.0,12.0,0.0,0.12507746695072242,0.813816357826761,0.0,0.9999999900000002,0.022722729600924186,0.6,0
