TransactionID,fraud_probability,risk_category
3897155,0.9998461,CRITICAL
3761175,0.99982446,CRITICAL
3739662,0.9998072,CRITICAL
3969781,0.9997938,CRITICAL
3969792,0.9997491,CRITICAL
3969788,0.9997491,CRITICAL
3729246,0.9997353,CRITICAL
3848080,0.9997043,CRITICAL
3862670,0.99970144,CRITICAL
3970460,0.9997013,CRITICAL
3969842,0.9996995,CRITICAL
3939312,0.99969006,CRITICAL
3843013,0.99968827,CRITICAL
3730453,0.99968624,CRITICAL
3862688,0.999686,CRITICAL
3862705,0.99968517,CRITICAL
3862691,0.99967825,CRITICAL
3970442,0.999663,CRITICAL
3915107,0.99965966,CRITICAL
3970448,0.9996569,CRITICAL
4118814,0.99965405,CRITICAL
3970467,0.999648,CRITICAL
3970445,0.99964607,CRITICAL
3862693,0.99963844,CRITICAL
3969768,0.9996331,CRITICAL
3969777,0.99963105,CRITICAL
3970119,0.9996301,CRITICAL
3971041,0.99962413,CRITICAL
3974187,0.9996239,CRITICAL
3862687,0.99962294,CRITICAL
3698747,0.9996228,CRITICAL
3862668,0.9996209,CRITICAL
3974128,0.9996197,CRITICAL
3915104,0.9996164,CRITICAL
4118811,0.9996131,CRITICAL
3848075,0.9996118,CRITICAL
3862708,0.9995945,CRITICAL
3725326,0.9995937,CRITICAL
3974211,0.999592,CRITICAL
3748158,0.99959046,CRITICAL
3843079,0.99959046,CRITICAL
3966204,0.99959034,CRITICAL
3877912,0.9995875,CRITICAL
3778234,0.9995846,CRITICAL
3974284,0.99958247,CRITICAL
3688820,0.99957746,CRITICAL
3974164,0.99957746,CRITICAL
3688833,0.9995771,CRITICAL
3966206,0.99957556,CRITICAL
3873303,0.9995704,CRITICAL
3862716,0.9995689,CRITICAL
3725332,0.99956816,CRITICAL
3974266,0.999566,CRITICAL
3974351,0.99955183,CRITICAL
3974221,0.99954754,CRITICAL
3897154,0.99954283,CRITICAL
4118802,0.9995421,CRITICAL
3862681,0.99953985,CRITICAL
3688847,0.999539,CRITICAL
3679969,0.9995369,CRITICAL
3995622,0.9995364,CRITICAL
3680039,0.9995346,CRITICAL
4118804,0.99952924,CRITICAL
3974355,0.9995291,CRITICAL
3753747,0.9995284,CRITICAL
3856722,0.9995233,CRITICAL
3700232,0.99952066,CRITICAL
3702009,0.9995165,CRITICAL
3862702,0.99951065,CRITICAL
3873929,0.999509,CRITICAL
3952701,0.99950886,CRITICAL
3862700,0.99950385,CRITICAL
3974368,0.9994986,CRITICAL
3939395,0.99949825,CRITICAL
3939388,0.99949396,CRITICAL
3974197,0.9994937,CRITICAL
3702017,0.9994905,CRITICAL
3859895,0.9994893,CRITICAL
3688808,0.9994881,CRITICAL
3848078,0.9994862,CRITICAL
3974335,0.9994753,CRITICAL
3862711,0.9994747,CRITICAL
3845382,0.99947256,CRITICAL
3974333,0.9994634,CRITICAL
3897153,0.9994609,CRITICAL
3969772,0.9994592,CRITICAL
3970164,0.99945885,CRITICAL
3970458,0.9994541,CRITICAL
4118813,0.99945384,CRITICAL
3969889,0.99945384,CRITICAL
3974235,0.9994535,CRITICAL
3939393,0.9994522,CRITICAL
4118806,0.9994469,CRITICAL
3730190,0.9994454,CRITICAL
3761185,0.999443,CRITICAL
3862689,0.9994417,CRITICAL
3679961,0.99944013,CRITICAL
3862704,0.9994394,CRITICAL
3974261,0.9994299,CRITICAL
3974372,0.9994271,CRITICAL
3974390,0.9994271,CRITICAL
3739671,0.99941754,CRITICAL
3767190,0.99941015,CRITICAL
3915100,0.99940264,CRITICAL
3688802,0.99939775,CRITICAL
3970456,0.9993901,CRITICAL
3970451,0.9993901,CRITICAL
3761197,0.9993838,CRITICAL
3688632,0.99938166,CRITICAL
4118815,0.9993813,CRITICAL
3852421,0.99937207,CRITICAL
3840677,0.9993699,CRITICAL
3745468,0.99936515,CRITICAL
3697927,0.9993643,CRITICAL
3730428,0.99935824,CRITICAL
3974182,0.99935526,CRITICAL
3864796,0.99935013,CRITICAL
3939384,0.9993475,CRITICAL
3974381,0.99934703,CRITICAL
3974386,0.99934703,CRITICAL
3968258,0.9993436,CRITICAL
3688827,0.9993432,CRITICAL
3688838,0.99934274,CRITICAL
3878309,0.9993426,CRITICAL
3974146,0.9993412,CRITICAL
3680023,0.99934095,CRITICAL
3939410,0.99933654,CRITICAL
3794798,0.999335,CRITICAL
3852402,0.9993345,CRITICAL
3939435,0.9993343,CRITICAL
3952699,0.99933404,CRITICAL
3840680,0.99933237,CRITICAL
4118808,0.9993237,CRITICAL
3897150,0.9993236,CRITICAL
3840687,0.99932194,CRITICAL
3682663,0.9993197,CRITICAL
3859893,0.99931955,CRITICAL
3969740,0.9993174,CRITICAL
3688854,0.999316,CRITICAL
3710411,0.9993144,CRITICAL
3939418,0.99931264,CRITICAL
3719846,0.99930835,CRITICAL
3751692,0.9993068,CRITICAL
3969850,0.9993048,CRITICAL
3843548,0.9992943,CRITICAL
3739636,0.9992887,CRITICAL
3970134,0.99928516,CRITICAL
3939413,0.99927825,CRITICAL
3761187,0.99927455,CRITICAL
3970464,0.9992737,CRITICAL
3970120,0.99925834,CRITICAL
3974290,0.999253,CRITICAL
3974363,0.9992506,CRITICAL
